scenario,batch,replicate,seed,method,truth,estimate,absolute_error,released,ridge,kernel_ridge,kernel_bandwidth
nominal,0,0,4229584147,ivw_meta,0.8266213473597319,0.5919548636609587,0.2346664836987732,True,,,
nominal,0,0,4229584147,random_effects_meta,0.8266213473597319,0.5971508490181858,0.2294704983415461,True,,,
nominal,0,0,4229584147,full_nearest,0.8266213473597319,0.05225295677363654,0.7743683905860954,True,,,
nominal,0,0,4229584147,ridge_meta_regression,0.8266213473597319,0.46288356405709197,0.36373778330263995,True,0.01,,
nominal,0,0,4229584147,rbf_kernel_ridge,0.8266213473597319,0.5103552497594099,0.316266097600322,True,,0.01,2.0
nominal,0,0,4229584147,atlas,0.8266213473597319,0.4694579888042817,0.3571633585554502,True,,,
nominal,0,0,4229584147,atlas_no_rejection,0.8266213473597319,0.4694579888042817,0.3571633585554502,True,,,
nominal,0,0,4229584147,semantic_forced,0.8266213473597319,0.6796105099643386,0.14701083739539333,True,,,
nominal,0,1,787594642,ivw_meta,0.791611205069872,0.2086329287652587,0.5829782763046133,True,,,
nominal,0,1,787594642,random_effects_meta,0.791611205069872,0.23021446601011847,0.5613967390597536,True,,,
nominal,0,1,787594642,full_nearest,0.791611205069872,0.14235588904100763,0.6492553160288644,True,,,
nominal,0,1,787594642,ridge_meta_regression,0.791611205069872,0.6556888854994286,0.13592231957044343,True,0.1,,
nominal,0,1,787594642,rbf_kernel_ridge,0.791611205069872,0.6808849977020398,0.11072620736783223,True,,0.01,2.0
nominal,0,1,787594642,atlas,0.791611205069872,0.6624414322899752,0.12916977277989683,False,,,
nominal,0,1,787594642,atlas_no_rejection,0.791611205069872,0.6624414322899752,0.12916977277989683,True,,,
nominal,0,1,787594642,semantic_forced,0.791611205069872,0.4852904448436308,0.3063207602262412,True,,,
nominal,0,2,1958262972,ivw_meta,0.2524431504625912,0.558206339639454,0.3057631891768628,True,,,
nominal,0,2,1958262972,random_effects_meta,0.2524431504625912,0.5667053371812921,0.31426218671870093,True,,,
nominal,0,2,1958262972,full_nearest,0.2524431504625912,-0.3773054467262197,0.6297485971888108,True,,,
nominal,0,2,1958262972,ridge_meta_regression,0.2524431504625912,-0.026001214000992423,0.2784443644635836,True,0.01,,
nominal,0,2,1958262972,rbf_kernel_ridge,0.2524431504625912,0.0011091162584131453,0.25133403420417805,True,,0.01,2.0
nominal,0,2,1958262972,atlas,0.2524431504625912,-0.04951848741840416,0.30196163788099534,False,,,
nominal,0,2,1958262972,atlas_no_rejection,0.2524431504625912,-0.04951848741840416,0.30196163788099534,True,,,
nominal,0,2,1958262972,semantic_forced,0.2524431504625912,0.5259340187520172,0.273490868289426,True,,,
nominal,0,3,1248506894,ivw_meta,0.5719189561090113,-0.14428019570570444,0.7161991518147157,True,,,
nominal,0,3,1248506894,random_effects_meta,0.5719189561090113,-0.1277260617633704,0.6996450178723818,True,,,
nominal,0,3,1248506894,full_nearest,0.5719189561090113,0.012264929106248849,0.5596540270027625,True,,,
nominal,0,3,1248506894,ridge_meta_regression,0.5719189561090113,0.3059700530790116,0.26594890302999974,True,0.1,,
nominal,0,3,1248506894,rbf_kernel_ridge,0.5719189561090113,0.3541178656559576,0.21780109045305374,True,,0.01,2.0
nominal,0,3,1248506894,atlas,0.5719189561090113,0.3216730068036726,0.2502459493053387,False,,,
nominal,0,3,1248506894,atlas_no_rejection,0.5719189561090113,0.3216730068036726,0.2502459493053387,True,,,
nominal,0,3,1248506894,semantic_forced,0.5719189561090113,-0.0002751025636223703,0.5721940586726337,True,,,
nominal,0,4,2980553369,ivw_meta,0.38811337301300847,0.4202711577757007,0.03215778476269221,True,,,
nominal,0,4,2980553369,random_effects_meta,0.38811337301300847,0.4575578336913365,0.06944446067832805,True,,,
nominal,0,4,2980553369,full_nearest,0.38811337301300847,1.4309086187137046,1.0427952457006961,True,,,
nominal,0,4,2980553369,ridge_meta_regression,0.38811337301300847,0.40718455293613753,0.019071179923129067,True,0.01,,
nominal,0,4,2980553369,rbf_kernel_ridge,0.38811337301300847,0.386803424843616,0.0013099481693924497,True,,0.01,2.0
nominal,0,4,2980553369,atlas,0.38811337301300847,0.4065434934079948,0.018430120394986316,False,,,
nominal,0,4,2980553369,atlas_no_rejection,0.38811337301300847,0.4065434934079948,0.018430120394986316,True,,,
nominal,0,4,2980553369,semantic_forced,0.38811337301300847,0.22656351192260551,0.16154986109040295,True,,,
nominal,0,5,3957589359,ivw_meta,-0.20825712447247752,0.036973690539550644,0.24523081501202815,True,,,
nominal,0,5,3957589359,random_effects_meta,-0.20825712447247752,0.039449905050052844,0.24770702952253038,True,,,
nominal,0,5,3957589359,full_nearest,-0.20825712447247752,-0.9222403535045524,0.7139832290320749,True,,,
nominal,0,5,3957589359,ridge_meta_regression,-0.20825712447247752,-0.3755554255119392,0.1672983010394617,True,0.1,,
nominal,0,5,3957589359,rbf_kernel_ridge,-0.20825712447247752,-0.292533488792141,0.08427636431966351,True,,0.01,2.0
nominal,0,5,3957589359,atlas,-0.20825712447247752,-0.38086620264146687,0.17260907816898935,False,,,
nominal,0,5,3957589359,atlas_no_rejection,-0.20825712447247752,-0.38086620264146687,0.17260907816898935,True,,,
nominal,0,5,3957589359,semantic_forced,-0.20825712447247752,-0.4399687690910338,0.23171164461855626,True,,,
nominal,0,6,2206514770,ivw_meta,0.15091625304697853,0.4422011663367674,0.2912849132897889,True,,,
nominal,0,6,2206514770,random_effects_meta,0.15091625304697853,0.45574617138379,0.30482991833681145,True,,,
nominal,0,6,2206514770,full_nearest,0.15091625304697853,0.456282566061076,0.30536631301409745,True,,,
nominal,0,6,2206514770,ridge_meta_regression,0.15091625304697853,0.08728907060873825,0.06362718243824028,True,0.01,,
